#time	V(u2)	V(v1)
9.095061632176794e-004	3.690752e-001	-3.701335e-001
9.122204489319652e-004	3.593710e-001	-3.599272e-001
9.149347346462510e-004	3.494669e-001	-3.496204e-001
9.176490203605367e-004	3.393630e-001	-3.392130e-001
9.203633060748225e-004	3.290591e-001	-3.287051e-001
9.230775917891083e-004	3.185554e-001	-3.180966e-001
9.257918775033941e-004	3.078518e-001	-3.073876e-001
9.339347346462514e-004	2.750601e-001	-2.745327e-001
9.420775917891085e-004	2.417565e-001	-2.411794e-001
9.502204489319658e-004	2.079410e-001	-2.073277e-001
9.583633060748231e-004	1.736136e-001	-1.729776e-001
9.665061632176804e-004	1.387743e-001	-1.381292e-001
9.746490203605375e-004	1.034231e-001	-1.027823e-001
9.827918775033948e-004	6.755997e-002	-6.693709e-002
9.853633060748232e-004	5.626419e-002	-5.564108e-002
9.879347346462516e-004	4.496121e-002	-4.433791e-002
9.905061632176800e-004	3.365103e-002	-3.302756e-002
9.930775917891082e-004	2.233366e-002	-2.171004e-002
9.956490203605365e-004	1.100909e-002	-1.038536e-002
9.982204489319649e-004	-3.226845e-004	9.465026e-004
1.000791877503393e-003	-1.166165e-002	1.228553e-002
1.001791877503393e-003	-1.606767e-002	1.669156e-002
1.008220448931964e-003	-4.448382e-002	4.510731e-002
1.014649020360535e-003	-7.271128e-002	7.333452e-002
1.021077591789106e-003	-1.007501e-001	1.013732e-001
1.027506163217677e-003	-1.286002e-001	1.292233e-001
1.033934734646248e-003	-1.562616e-001	1.568849e-001
1.040363306074819e-003	-1.837343e-001	1.843580e-001
1.046791877503389e-003	-2.110184e-001	2.116425e-001
1.051506163217675e-003	-2.308132e-001	2.313919e-001
1.056220448931960e-003	-2.503190e-001	2.508952e-001
1.060934734646246e-003	-2.695358e-001	2.701524e-001
1.065649020360531e-003	-2.884636e-001	2.891635e-001
1.070363306074816e-003	-3.071024e-001	3.079284e-001
1.075077591789101e-003	-3.254522e-001	3.264473e-001
1.079791877503387e-003	-3.435131e-001	3.447199e-001
1.082077591789101e-003	-3.520983e-001	3.534553e-001
1.084363306074815e-003	-3.604466e-001	3.621131e-001
1.086649020360529e-003	-3.685580e-001	3.706932e-001
1.088934734646243e-003	-3.764325e-001	3.791957e-001
1.091220448931957e-003	-3.840701e-001	3.876206e-001
1.093506163217671e-003	-3.914708e-001	3.959679e-001
1.095791877503385e-003	-3.986346e-001	4.042375e-001
1.098791877503385e-003	-4.073562e-001	4.149583e-001
1.101791877503385e-003	-4.153868e-001	4.255311e-001
1.104506163217670e-003	-4.219346e-001	4.349730e-001
1.107220448931956e-003	-4.279853e-001	4.442811e-001
1.109934734646241e-003	-4.335391e-001	4.534555e-001
1.112649020360527e-003	-4.385957e-001	4.624963e-001
1.115363306074812e-003	-4.431553e-001	4.714033e-001
1.118077591789098e-003	-4.472179e-001	4.801767e-001
1.120791877503383e-003	-4.507834e-001	4.888163e-001
1.124649020360526e-003	-4.552608e-001	5.008548e-001
1.128506163217668e-003	-4.593525e-001	5.125813e-001
1.132363306074811e-003	-4.630583e-001	5.239956e-001
1.136220448931953e-003	-4.663784e-001	5.350979e-001
1.140077591789096e-003	-4.693126e-001	5.458881e-001
1.143934734646239e-003	-4.718611e-001	5.563663e-001
1.147791877503381e-003	-4.740238e-001	5.665323e-001
1.155934734646238e-003	-4.779572e-001	5.869626e-001
1.164077591789094e-003	-4.814242e-001	6.057401e-001
1.172220448931950e-003	-4.844247e-001	6.228648e-001
1.180363306074807e-003	-4.869588e-001	6.383368e-001
1.188506163217663e-003	-4.890266e-001	6.521559e-001
1.196649020360520e-003	-4.906279e-001	6.643223e-001
1.204791877503376e-003	-4.917628e-001	6.748359e-001
1.220934734646232e-003	-4.936930e-001	6.901475e-001
1.237077591789088e-003	-4.947053e-001	6.983426e-001
1.253220448931944e-003	-4.947997e-001	6.994212e-001
1.269363306074799e-003	-4.939762e-001	6.933832e-001
1.285506163217655e-003	-4.922349e-001	6.802286e-001
1.301649020360511e-003	-4.895756e-001	6.599575e-001
1.317791877503367e-003	-4.859985e-001	6.325699e-001
1.323791877503366e-003	-4.843513e-001	6.207488e-001
1.329791877503366e-003	-4.822787e-001	6.080908e-001
1.335791877503365e-003	-4.797806e-001	5.945958e-001
1.341791877503365e-003	-4.768572e-001	5.802638e-001
1.347791877503364e-003	-4.735083e-001	5.650949e-001
1.353791877503364e-003	-4.697340e-001	5.490890e-001
1.359791877503363e-003	-4.655343e-001	5.322462e-001
1.362934734646220e-003	-4.630159e-001	5.231372e-001
1.366077591789077e-003	-4.601017e-001	5.138328e-001
1.369220448931934e-003	-4.567918e-001	5.043329e-001
1.372363306074791e-003	-4.530862e-001	4.946375e-001
1.375506163217648e-003	-4.489850e-001	4.847466e-001
1.378649020360504e-003	-4.444880e-001	4.746603e-001
1.381791877503361e-003	-4.395953e-001	4.643785e-001
1.385220448931932e-003	-4.333687e-001	4.529513e-001
1.388649020360504e-003	-4.262646e-001	4.413269e-001
1.392077591789075e-003	-4.182832e-001	4.295053e-001
1.395506163217646e-003	-4.094244e-001	4.174865e-001
1.398934734646217e-003	-3.996883e-001	4.052704e-001
1.402363306074788e-003	-3.890748e-001	3.928571e-001
1.405791877503359e-003	-3.775839e-001	3.802466e-001
1.408506163217645e-003	-3.680686e-001	3.701409e-001
1.411220448931930e-003	-3.583552e-001	3.599347e-001
1.413934734646216e-003	-3.484437e-001	3.496280e-001
1.416649020360501e-003	-3.383341e-001	3.392207e-001
1.419363306074787e-003	-3.280264e-001	3.287129e-001
1.422077591789072e-003	-3.175206e-001	3.181045e-001
1.424791877503358e-003	-3.068168e-001	3.073955e-001
1.432934734646214e-003	-2.740240e-001	2.745408e-001
1.441077591789071e-003	-2.407196e-001	2.411876e-001
1.449220448931927e-003	-2.069035e-001	2.073361e-001
1.457363306074784e-003	-1.725758e-001	1.729861e-001
1.465506163217640e-003	-1.377364e-001	1.381378e-001
1.473649020360496e-003	-1.023854e-001	1.027910e-001
1.481791877503353e-003	-6.652272e-002	6.694584e-002
1.484649020360495e-003	-5.396898e-002	5.439185e-002
1.487506163217638e-003	-4.140777e-002	4.183043e-002
1.490363306074781e-003	-2.883909e-002	2.926158e-002
1.493220448931923e-003	-1.626296e-002	1.668529e-002
1.496077591789066e-003	-3.679354e-003	4.101580e-003
1.498934734646209e-003	8.911711e-003	-8.489565e-003
1.501791877503351e-003	2.151024e-002	-2.108814e-002
1.508506163217636e-003	5.118994e-002	-5.076713e-002
1.515220448931921e-003	8.064820e-002	-8.022501e-002
1.521934734646207e-003	1.098850e-001	-1.094618e-001
1.528649020360492e-003	1.389004e-001	-1.384774e-001
1.535363306074777e-003	1.676943e-001	-1.672720e-001
1.542077591789062e-003	1.962669e-001	-1.958454e-001
1.548791877503347e-003	2.246179e-001	-2.241978e-001
1.553220448931918e-003	2.430993e-001	-2.426315e-001
1.557649020360489e-003	2.613087e-001	-2.608418e-001
1.562077591789060e-003	2.792459e-001	-2.788286e-001
1.566506163217632e-003	2.969111e-001	-2.965919e-001
1.570934734646203e-003	3.143042e-001	-3.141317e-001
1.575363306074774e-003	3.314252e-001	-3.314481e-001
1.579791877503345e-003	3.482741e-001	-3.485410e-001
1.582077591789059e-003	3.567932e-001	-3.572446e-001
1.584363306074773e-003	3.650575e-001	-3.658699e-001
1.586649020360487e-003	3.730671e-001	-3.744167e-001
